国家代码,国家中文名,国家英文名,R9调查开始,R9调查结束,R10调查开始,R10调查结束,疫情官方发生时点(首例确诊),发生时点置信度,疫情官方结束时点(全国性主要限制解除/终止),结束时点定义说明,结束时点置信度,R9相对疫情发生时点,R10相对疫情结束时点,备注
BE,比利时,Belgium,2018/9/20,2019/6/18,2021/10/27,2022/9/3,2020/2/4,高,2022/3/7,"无正式""紧急状态""法律地位(宪法未设此制度)；日期为主要联邦阶段性措施(Covid Safe Ticket、口罩令等)大规模解除的约略时间",中,前,中(跨越),"比利时未宣布过法律意义上的""紧急状态""，采用联邦""phase""管理机制；结束日期为多来源综合估计，非单一官方文告日期"
BG,保加利亚,Bulgaria,2018/11/16,2019/10/9,2021/6/28,2021/9/30,2020/3/8,高,2022/11/17,"官方""流行病紧急状态(epidemic emergency situation)""全面解除日期",高,前,前,"保加利亚2020年3月13日至5月14日曾宣布""国家紧急状态""后转为""流行病紧急状态""并延续至2022年11月17日正式解除"
CH,瑞士,Switzerland,2018/10/3,2019/10/3,2021/5/4,2022/5/2,2020/2/25,高,2022/4/1,"特殊状态(besondere Lage)下全国性措施基本清零日期(2022年2月17日大规模解除，2022年4月1日剩余口罩/隔离要求取消)""",中,前,中(跨越),"瑞士未采用""紧急状态""一词而用《流行病法》下的""特别状况/特殊状况""分级"
CZ,捷克,Czechia,2018/11/17,2019/8/1,2021/7/5,2021/9/29,2020/3/1,高,2022/5/5,"捷克议会下院正式终止""大流行警戒状态(pandemic alert status)""，取消全部统一防疫措施的日期",高,前,前,"捷克曾多次宣布/解除""nouzový stav""(国家紧急状态)，此处采用最终、全面终止防疫措施的日期"
EE,爱沙尼亚,Estonia,2018/10/1,2019/10/7,2021/6/7,2021/12/31,2020/2/27,高,2022年(具体日期未见权威单一文告),"爱沙尼亚2020年""紧急状态(eriolukord)""已于2020-05-18解除，此后未再宣布全国性紧急状态；2021-2022年经历德尔塔/奥密克戎波但缺少可查的""正式终结""公告",低,前,前,"该国的应对更多依赖分级限制而非重启""紧急状态""，故难以确定单一官方""结束""日期，分类结果为估计"
FI,芬兰,Finland,2018/9/3,2019/10/15,2021/8/31,2022/1/31,2020/1/29,中,2022/2/14,"芬兰政府宣布分阶段解除""混合战略(hybrid strategy)""下限制措施的启动日期",高,前,前(临界),"R10结束(2022-01-31)与该国限制解除启动(2022-02-14)仅相差约2周，属于临界情形，需谨慎解读为""刚好在结束前"""
FR,法国,France,2018/10/19,2019/9/25,2021/8/23,2021/12/31,2020/1/24,高,2022/7/31,法国《卫生紧急状态法(état d'urgence sanitaire)》正式废止日期,高,前,前,法国首例为欧洲已知最早的社区病例之一(2020-01-24 波尔多)
GB,英国,United Kingdom,2018/10/8,2019/10/8,2021/8/15,2022/9/2,2020/1/31,高,2022/2/24,"英格兰""与新冠共存(Living with COVID)""计划下法定自我隔离要求取消日期",高,前,中(跨越),数据基于英格兰口径；苏格兰/威尔士/北爱尔兰解除时间略有差异
HR,克罗地亚,Croatia,2019/9/20,2020/4/7,2021/5/5,2021/11/16,2020/2/25,高,2023/5/11,"克罗地亚政府正式宣布""COVID-19疫情终结""的法律文告日期",高,中(跨越),前,"克罗地亚R9调查窗口(2019-09至2020-04)跨越本国首例确诊日期；官方法律意义上的""疫情结束""迟至2023年5月才宣布，明显晚于该国实际防疫限制基本解除的时间(约2022年初)，需注意法律口径与实际社会状态的落差"
HU,匈牙利,Hungary,2019/1/31,2019/10/21,2021/6/10,2021/10/16,2020/3/4,高,2022/6/1,"匈牙利正式终止COVID相关""危险状态(veszélyhelyzet)""法律地位的日期",高,前,前,"该""危险状态""法律框架后因俄乌战争等原因以其他名义延续，此处仅指COVID相关部分"
