"node","item","item_en","item_cn","value_type","higher_order","higher_order_cn"
"V10","ipcrtiv","be creative","有创造力","Self-direction","Openness","开放改变"
"V3","impfree","make own decisions","自己做决定","Self-direction","Openness","开放改变"
"V1","impdiff","try new things","尝试新鲜事物","Stimulation","Openness","开放改变"
"V8","ipadvnt","seek adventure","寻求冒险","Stimulation","Openness","开放改变"
"V13","ipgdtim","have a good time","享受美好时光","Hedonism","Openness","开放改变"
"V4","impfun","seek fun","寻求乐趣","Hedonism","Openness","开放改变"
"V18","ipshabt","show abilities","展示才能","Achievement","Self-enhancement","自我提升"
"V20","ipsuces","be successful","取得成功","Achievement","Self-enhancement","自我提升"
"V5","imprich","be rich","富有","Power","Self-enhancement","自我提升"
"V17","iprspot","get respect","获得尊重","Power","Self-enhancement","自我提升"
"V6","impsafe","safe surroundings","生活安全","Security","Conservation","保守"
"V19","ipstrgv","strong government","政府保障安全","Security","Conservation","保守"
"V12","ipfrule","follow rules","遵守规则","Conformity","Conservation","保守"
"V9","ipbhprp","behave properly","举止得体","Conformity","Conservation","保守"
"V16","ipmodst","be modest","谦逊低调","Tradition","Conservation","保守"
"V7","imptrad","follow traditions","遵循传统","Tradition","Conservation","保守"
"V14","iphlppl","help people","帮助他人","Benevolence","Self-transcendence","自我超越"
"V15","iplylfr","loyal to friends","忠于朋友","Benevolence","Self-transcendence","自我超越"
"V21","ipudrst","understand others","理解他人","Universalism","Self-transcendence","自我超越"
"V11","ipeqopt","equal opportunities","人人平等","Universalism","Self-transcendence","自我超越"
"V2","impenv","care for environment","关心环境","Universalism","Self-transcendence","自我超越"
